FLOW serial number,FLOW source,FLOW destination,FLOW duration,FLOW packet count,FLOW bytes count,FLOW TX time difference median,FLOW TX time difference variance,FLOW packet length median,FLOW packet length variance,FLOW to router or broadcast,FLOW response time median,FLOW response time variance,FLOW response time average,FLOW response time min,FLOW response time max,FLOW label
64.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.013682,3,306,0.006841,2.401E-09,102,0,1,0.001968,5.18400000000002E-09,0.001968,0.001896,0.00204,0
11.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.13752,41,4182,0.0029315,1.73999085E-06,102,0,1,0.001837,1.7032279E-06,0.0023435,0.001622,0.009226,0
90.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.178221,50,5100,0.003122,8.68649891711787E-07,102,0,1,0.001853,8.97585882548938E-07,0.002399510204082,0.001771,0.005272,0
32.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.158378,50,5100,0.002961,6.40195346105789E-07,102,0,1,0.001819,6.18626667221991E-07,0.002098163265306,0.001724,0.00527,0
10.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.170622,50,5100,0.00292,2.2258756668055E-06,102,0,1,0.0018165,2.1520518004E-06,0.00234286,0.001711,0.010109,0
22.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.188064,50,5100,0.002987,2.23693465139525E-06,102,0,1,0.001862,2.04453648979592E-06,0.002699285714286,0.001731,0.006788,0
11.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.161445,50,5100,0.002943,1.41003244814661E-06,102,0,1,0.001825,1.61945548350634E-05,0.002237705882353,-0.016786,0.022155,0
37.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.171495,50,5100,0.002975,1.13654923448563E-06,102,0,1,0.001852,1.13892147771762E-06,0.002379306122449,0.001712,0.005935,0
53.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.100537,31,3162,0.0029915,6.88645178888889E-07,102,0,1,0.001849,6.71672643080125E-07,0.002196258064516,0.001494,0.005445,0
53.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.16076,50,5100,0.002978,4.20926272386506E-07,102,0,1,0.0018435,4.089666736E-07,0.00215008,0.001617,0.003972,0
1.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.172421,50,5100,0.003017,1.3124850603915E-06,102,0,1,0.00185,1.28652553186172E-06,0.002372755102041,0.001738,0.00716,0
8.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.159431,50,5100,0.002964,6.29174171595169E-07,102,0,1,0.001852,5.64724768846314E-07,0.002152081632653,0.001695,0.005578,0
58.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.099589,15,1530,0.006861,3.11493467857143E-06,102,0,1,0.002052,3.90062746666667E-06,0.003244,0.00183,0.008511,0
37.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.026141,9,918,0.0030705,2.31305234375E-07,102,0,1,0.0020065,2.47216359375E-07,0.002166875,0.001757,0.003355,0
76.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.165639,50,5100,0.002908,2.265494727197E-06,102,0,1,0.001815,2.2027544116E-06,0.00234478,0.001513,0.011463,0
96.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.200606,50,5100,0.00315,4.56978408163265E-06,102,0,1,0.00189,4.79767383673469E-06,0.002968714285714,0.001742,0.013537,1
63.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.215527,50,5100,0.003072,8.86257661724282E-06,102,0,1,0.001872,8.6085176256E-06,0.00320688,0.001724,0.01768,0
56.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.134179,40,4080,0.003019,7.15711993425378E-07,102,0,1,0.00186,7.27335555555556E-07,0.002333333333333,0.001748,0.004397,0
18.1,78:0c:b8:8b:4d:90,50:c7:bf:51:1e:3f,0.176899,50,5100,0.003111,1.47404239483549E-06,102,0,1,0.00185,1.08136914285714E-06,0.002386428571429,0.001755,0.006526,0
